canonical_name,kgis_code,year,month,category,count,expected,anomaly_score,reason
Dharwad,09,2016,12,CrPC,44,13.0,0.6356,"Dec 2016: 44 Crpc in Dharwad vs ~13 expected (3.4x, z=0.3) - spike."
Kalaburagi,04,2018,3,CrPC,503,171.0,0.635,"Mar 2018: 503 Crpc in Kalaburagi vs ~171 expected (2.9x, z=1.9) - spike."
Uttara Kannada,10,2018,4,CrPC,258,81.8,0.6344,"Apr 2018: 258 Crpc in Uttara Kannada vs ~82 expected (3.2x, z=1.4) - spike."
Vijayanagara,31,2017,7,CrPC,177,56.0,0.6328,"Jul 2017: 177 Crpc in Vijayanagara vs ~56 expected (3.2x, z=1.4) - spike."
Bengaluru Urban,20,2020,2,NEGLIGENT ACT,281,92.1,0.6298,"Feb 2020: 281 Negligent Act in Bengaluru Urban vs ~92 expected (3.1x, z=0.7) - spike."
Bengaluru Urban,20,2022,12,PUBLIC SAFETY,869,281.9,0.6278,"Dec 2022: 869 Public Safety in Bengaluru Urban vs ~282 expected (3.1x, z=1.3) - spike."
Bengaluru Urban,20,2023,5,PUBLIC SAFETY,543,185.0,0.6276,"May 2023: 543 Public Safety in Bengaluru Urban vs ~185 expected (2.9x, z=0.8) - spike."
Chikkaballapura,28,2017,6,CrPC,506,177.7,0.6268,"Jun 2017: 506 Crpc in Chikkaballapura vs ~178 expected (2.8x, z=2.0) - spike."
Chikkaballapura,28,2020,12,Karnataka State Local Act,124,39.5,0.6264,"Dec 2020: 124 Karnataka State Local Act in Chikkaballapura vs ~40 expected (3.1x, z=1.5) - spike."
Kolar,19,2018,2,Karnataka State Local Act,37,12.2,0.6244,"Feb 2018: 37 Karnataka State Local Act in Kolar vs ~12 expected (3.0x, z=1.8) - spike."
Haveri,11,2016,1,CrPC,194,64.5,0.6191,"Jan 2016: 194 Crpc in Haveri vs ~64 expected (3.0x, z=0.7) - spike."
Bengaluru Urban,20,2016,10,CrPC,268,92.0,0.6185,"Oct 2016: 268 Crpc in Bengaluru Urban vs ~92 expected (2.9x, z=0.8) - spike."
Chamarajanagar,27,2017,7,CrPC,351,124.3,0.6184,"Jul 2017: 351 Crpc in Chamarajanagar vs ~124 expected (2.8x, z=1.8) - spike."
Mysuru,26,2016,8,CrPC,147,49.7,0.6179,"Aug 2016: 147 Crpc in Mysuru vs ~50 expected (3.0x, z=0.5) - spike."
