major_head,sub_head,count
CRIMINAL MISAPPROPRIATION,Charitable Organisation,2
CONSUMER,Packaged commodities (Regulation) order 1975,2
MOTOR VEHICLE ACCIDENTS NON-FATAL,INDIAN MOTOR VEHICLE (IMV),2
ASSAULT,On Student,2
FAILURE TO APPEAR TO COURT,174A,2
BUYING & SELLING MINOR FOR PROSTITUTION,BUYING MINOR FOR PROSTITUTION,2
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Adultery,2
CRIMINAL MISAPPROPRIATION,Attempt To Commit,2
RAPE,Custodial Rape,2
CRIMINAL MISAPPROPRIATION,Postal Department,2
KIDNAPPING AND ABDUCTION,For Ransom - Of Children For Begging,1
MURDER,Witch Craft (Sorcery),1
EXPLOSIVES,Inflammable Substances Act 1952,1
BURGLARY - NIGHT,Attempting to commit offences,1
KIDNAPPING AND ABDUCTION,Espionage,1
Karnataka State Local Act,"The Karnataka Prevention Of Dangerous Activities Of Bootleggers,Drug-Offenders,Gamblers,Goond",1
SCHEDULED CASTE AND THE SCHEDULED TRIBES,Rape,1
UNNATURAL DEATH (Sec 174/174c/176),Unnatural death - suicidal hanging,1
CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,1
OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,1
PUBLIC SAFETY,Other Roads,1
DEFENCE FORCES OFFENCES RELATING TO (also relating to desertion),Air Force,1
ATTEMPT TO MURDER,Terrorism / Naxalism / Extremism,1
PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,1
PUBLIC SAFETY,Other - Related,1
NATIONAL SECURITY ACT,National Security Act,1
CRIMINAL MISAPPROPRIATION,Chitfund Organisation,1
MOLESTATION,Criminal Intimidation,1
INDIAN MOTOR VEHICLE,State Highways,1
NEGLIGENT ACT,Building Collapse,1
COUNTERFEITING,Of Coins (Sec 231 to 254 IPC),1
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,For Dowry,1
CRIMINAL INTIMIDATION,Other Places,1
MURDER,Professional,1
UNNATURAL DEATH (Sec 174/174c/176),Unnatural death - suicide others,1
ILLEGAL DETENTION,Illegal Detention,1
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Due To Communalism,1
CRIMINAL INTIMIDATION,Husband And Relative(S) In Law,1
RIOTS,Other Places,1
ASSAULT,On Domestic Servant,1
SUICIDE,Husband And Relative(S) In Law,1
CRIMINAL TRESPASS,Land Disputes,1
WRONGFUL RESTRAINT/CONFINEMENT,Criminal Intimidation,1
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),MP,1
ASSAULT,On Woman (ST),1
UNNATURAL DEATH (Sec 174/174c/176),Unnatural death - By Others causes,1
SEDITION,Attempt TO Commit,1
OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),Jail Personnel,1
CRIMINAL MISAPPROPRIATION,Trust- Other Than Religious,1
KIDNAPPING AND ABDUCTION,For Slavery,1
MOTOR VEHICLE ACCIDENTS NON-FATAL,Human - Related,1
SEDITION,By National And Foreigner,1
CRIMES RELATED TO WOMEN,Husband And Relative(S) In Law,1
PREVENTION OF CORRUPTION ACT 1988,Public Servant Gazetted - Public Sector Undertaking,1
DEATHS DUE TO RASHNESS/NEGLIGENCE,Railway Accident,1
SCHEDULED CASTE AND THE SCHEDULED TRIBES,Other Places,1
THEFT,Karnataka Forest Act 1963,1
RIOTS,Land,1
Karnataka State Local Act,Women,1
MISSING PERSON,Men,1
MOTOR VEHICLE ACCIDENTS NON-FATAL,Women,1
CRIMES RELATED TO WOMEN,Dowry Harasement,1
POCSO,Private Place,1
PORNOGRAPHY,Poster,1
ASSAULT,"On Member Of Clergy (Christian, Budhist, Jain, Sikh)",1
CRIMINAL MISAPPROPRIATION,Public Sector Undertakings,1
CYBER CRIME,Poster,1
PREVENTION OF CORRUPTION ACT 1988,Public Servant Gazetted - State,1
CASES OF HURT,Women,1
RIOTS,Women,1
MOLESTATION,Others,1
NEGLIGENT ACT,State Highways,1
FORGERY,Criminal Breach Of Trust,1
BURGLARY - NIGHT,"Electronic Goods (Radio,TV,VCR,ACs,Office Automation Equipments)",1
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Professional,1
CRIMINAL TRESPASS,Criminal Intimidation,1
THEFT,Of Mines,1
Karnataka State Local Act,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,1
DEATHS DUE TO RASHNESS/NEGLIGENCE,Adultrated Food/Drug,1
CHEATING,FALSE EVIDENCE,1
ASSAULT,On Manager/Executive (Other Than Public Servant),1
ASSAULT,On Contractor,1
CASES OF HURT,Others,1
CASES OF HURT,Other Places,1
OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),Judicial Official,1
ANIMAL,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,1
UNNATURAL DEATH (Sec 174/174c/176),Unnatural death - burning,1
MOLESTATION,Simple Hurt,1
MOLESTATION,Women,1
CINEMATOGRAPH ACT 1952,Video,1
PORNOGRAPHY,Film(Blue),1
Disobedience to Order Promulgated by PublicServan,Public Safety,1
Karnataka State Local Act,"Motor Spirit and High Speed Diesel (Regulation of Supply, Distribution and Prevention of Malpractice",1
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,For Human Sacrifice,1
DEATHS DUE TO RASHNESS/NEGLIGENCE,In Jail/Judicial Custody,1
