major_head,sub_head,count
CrPC,Preventive Arrest (Sec 151),724
SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,723
Karnataka State Local Act,Karnataka Forest Act 1963,715
MURDER,Revenge/Enemity,682
DEATHS DUE TO RASHNESS/NEGLIGENCE,Others,646
ARMS ACT 1959,Country Made - Non-Prohibited Bore - In Other Area,638
DOWRY DEATHS,By Hanging,624
COMMUNAL / RELIGION,Religious Issue,621
DEATHS DUE TO RASHNESS/NEGLIGENCE,Electrocution Accident,601
DOWRY DEATHS,By Husband And Relative/s In Law,600
ATTEMPT TO MURDER,Over Property Dispute,597
ROBBERY,At Commercial Places / Establishments,593
RIOTS,Political,588
COMMUNAL / RELIGION,Others,562
CHILDREN ACT,Child Labour (Prohibition & Regulation) Act 1986,555
COPY RIGHT ACT 1957,By Individual,551
Karnataka State Local Act,Karnataka Land & Revenue Act 1964 & 2007,551
EXPLOSIVES,Explosives Act 1884,549
DEATHS DUE TO RASHNESS/NEGLIGENCE,Improper Infrastructure In Construction,541
ROBBERY,Attempt To Commit,540
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Due To Other Causes,538
OFFENCES PROMOTING ENEMITY,Offences Promoting Enemity,534
DACOITY,In Other Places,527
ARSON,Agricultural Produce,527
BURGLARY - NIGHT,At Banks,524
Karnataka State Local Act,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,523
PUBLIC NUISANCE,Public Nuisance,513
CHILDREN ACT,Juvenile Justice Act 1986,507
NEGLIGENT ACT,Death Caused By Electric Shock,501
COMMUNAL / RELIGION,Communal Issue,497
THEFT,In Running Train,493
EXPOSURE AND ABANDONMENT OF CHILD,Girl,491
Karnataka State Local Act,Karnataka Prohibition Of Charging Exorbitant Interest Act 2004,483
MURDER,Civil Disputes,474
ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,468
DACOITY,On Other Roads,464
INSULTING MODESTY OF WOMEN (EVE TEASING),Other Places,460
MURDER,Due To PersonalVendetta or Enemity,456
ARMS ACT 1959,Country Made - Prohibited Bore- In Other Area,453
BURGLARY - DAY,In Other Places,447
KIDNAPPING AND ABDUCTION,For Ransom - Of Others,432
FOREIGNER,Foreigners Act 1946,414
CrPC,Others,410
THEFT,Attempt to Commit,399
KIDNAPPING AND ABDUCTION,Procuration Of Minor Girls - For Other Purpose,398
DACOITY,At Residential Premises,390
MURDER,For gain,384
OFFENCES RELATED TO MARRIAGE,OFFENCES RELATED TO MARRIAGE,379
ELECTION,Other Elected Bodies,374
INSULTING MODESTY OF WOMEN (EVE TEASING),Public Place,360
ATTEMPT TO MURDER,For Dowry Other Means,353
EXPOSURE AND ABANDONMENT OF CHILD,Boy,344
RAPE,By Neighbours,344
MURDER,Due To Sexual Jealousy,335
CRIMINAL TRESPASS,Office,333
DACOITY,On Highways,332
KIDNAPPING AND ABDUCTION,To Compel For Marriage,325
RAPE,By Relatives,324
EXPLOSIVES,Explosives Substances Act 1908,321
COUNTERFEITING,Of Currency Notes And Bank Notes (Sec 489 (A) To 489 (E) IPC),297
THEFT,Of Automobiles - Of Tractors,288
ELECTION,Parliament,281
Concealment of birth by secret disposal of Child,Boy,272
RIOTS,Agrarian,271
Karnataka State Local Act,Karnataka Mining Act,263
Concealment of birth by secret disposal of Child,Girl,262
FALSE EVIDENCE,FALSE EVIDENCE,255
MURDER,Over Property Disputes,254
ATTEMPT TO MURDER,For Gain,254
RIOTS,Due To Village Disputes,251
NEGLIGENT ACT,Animal - Related,248
Karnataka State Local Act,Karnataka Lottery Act,248
CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000,246
Failure to appear to Court,174 A,245
RIOTS,Regional,240
CRUELTY BY HUSBAND,Relative(S) In Law,240
BURGLARY - DAY,At Commercial Places / Establishments,237
Karnataka State Local Act,Karnataka Money Lender Act 1961,235
REPRESENTATION OF PEOPLE ACT 1951 & 1988,Other Elected Bodies,226
ATTEMPT TO MURDER,For Political Reasons,216
NEGLIGENT ACT,Explosive/Explosive Substances - Related,216
WRONGFUL RESTRAINT/CONFINEMENT,To Settle Dispute,216
ARSON,Public Place,215
PASSPORT ACT,Indian,207
MISSING PERSON,Girl,203
CRIMINAL CONSPIRACY,Others,199
REPRESENTATION OF PEOPLE ACT 1951 & 1988,Parliament,196
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Due To Other Causes,189
ARMS ACT 1959,Factory Made - Non-Prohibited Bore - In Other Area,189
KIDNAPPING AND ABDUCTION,For Ransom - Of Children,185
WRONGFUL RESTRAINT/CONFINEMENT,Attempt To Commit,184
ARMS ACT 1959,Factory Made - Prohibited Bore- In Other Area,183
ATTEMPT TO MURDER,Love Intrigue,181
ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,From Police Custody,175
ARSON,Dwelling House,167
RIOTS,Communal,163
ANIMAL,Wild Life Protection Act 1972,157
MURDER,Love Intrigue,150
WRONGFUL RESTRAINT/CONFINEMENT,To Extort Property,148
ATTEMPT TO MURDER,Due To Sexual Jealousy,143
CrPC,Joining or continuing in an unalwful assembly,142
INDIAN ELECTRICITY ACT,Indian Electricity Act,142
ROBBERY,In Trains,142
Karnataka State Local Act,Karnataka Prohibition Of Beggary Act 1975,139
MOLESTATION,Public Conveyance,133
BURGLARY - DAY,Temple Theft,131
Karnataka State Local Act,Karnataka Prisoners Act 1963 & 1974,128
DEATHS DUE TO RASHNESS/NEGLIGENCE,Electrocution,127
CRIMINAL TRESPASS,Prohibited Places,124
MURDER,For Dowry By Other Means,121
BONDED LABOUR SYSTEM,BONDED LABOUR SYSTEM,117
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Attempt To Commit,116
CrPC,Security For Good Behaviour (Sec 145 ),115
COMMUNAL / RELIGION,Regional Issue,114
DACOITY,At Commercial Places / Establishments,112
ASSAULT,On Man (General),107
DOWRY DEATHS,By Husband,105
INDIAN MOTOR VEHICLE,INDIAN MOTOR VEHICLE (IMV),102
NEGLIGENT ACT,Inflammable Substances - Related,102
RAPE,Attempt To Commit,100
RAPE,Unknown Person,98
RIOTS,Labour - Private Sector,98
FOREST,Forest (Conservation) Act 1980,97
COMMUNAL / RELIGION,Caste Issue,94
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Judicial Official,93
RAPE,By A Gang,93
ADULTERATION,Others,92
POISONING-PROFESSIONAL,Attempt To Commit,91
DEATHS-MISCARRIAGE,Child,91
CRIMINAL TRESPASS,Restricted Area,91
KIDNAPPING AND ABDUCTION,Wrongful Confinement,90
ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,88
RIOTS,Students,87
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,87
Karnataka State Local Act,Karnataka Education Act 1983 As Amended Upto Date,84
SUICIDE,Dowry,84
ATTEMPT TO MURDER,Village Dispute,83
DOWRY DEATHS,By Other Means,82
MURDER,Rape With Murder,82
DEATHS DUE TO RASHNESS/NEGLIGENCE,Industrial Accident(Factory),81
RIOTS,Industrial,80
ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,From Jail Custody,80
RIOTS,Caste,80
MURDER,Due to Adultery,79
KIDNAPPING AND ABDUCTION,For Ransom - Of Women,78
ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,Others,78
CRIMINAL TRESPASS,Hotel,77
CRIMINAL TRESPASS,Religious Place,76
PORNOGRAPHY,Others,75
DEATHS DUE TO RASHNESS/NEGLIGENCE,Improper Medical Treatment,73
Karnataka State Local Act,Karnataka Private Medical Institution Act 2007,71
Karnataka State Local Act,Karnataka Irrigation Act 1963,71
DOWRY DEATHS,By Burning,69
ATTEMPT TO MURDER,Due To Communalism,69
Disobedience to Order Promulgated by PublicServan,By Private Institution,69
CRIMINAL TRESPASS,Attempt To Commit,69
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Sudden Quarrel,67
THEFT,At ATM,67
